provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number,hasSpecialties,GENERAL SURGERY,SURGICAL ONCOLOGY,THORACIC SURGERY,CARDIAC SURGERY,OPHTHALMOLOGY,PLASTIC AND RECONSTRUCTIVE SURGERY,VASCULAR SURGERY,ORTHOPEDIC SURGERY,HAND SURGERY,ORAL SURGERY,GASTROENTEROLOGY,DERMATOLOGY,PAIN MANAGEMENT,COLORECTAL SURGERY (PROCTOLOGY),UROLOGY
,1548213077,PACIFIC CATARACT AND LASER INSTITUTE OF ALASKA INC PC,1600 A ST,ANCHORAGE,AK,995015147,,61.206013,-149.88339,9072722423,Dec-49,,,K150069,K150069,,,,,,,,,,,,,,,,,,,
,1699875450,GENEVA WOODS SURGICAL CENTER INC,3730 RHONE CIR,ANCHORAGE,AK,995085054,,61.18726841,-149.8616705,9075624764,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1770605214,ANCHORAGE ENDOSCOPY CENTER LLC,2841 DEBARR RD STE 51,ANCHORAGE,AK,995082968,,61.2097966,-149.828776,9072223636,Dec-49,,,,490004596,,,,,,,,,,,,,,,,,,,
,1508835299,ALASKA DIGESTIVE CENTER LLC,4048 LAUREL ST,ANCHORAGE,AK,995085389,,61.18400138,-149.8346404,9075631750,Dec-49,,,,153005,,,,,,,,,,,,,,,,,,,
,1205892197,ALASKA SURGERY CENTER LIMITED PARTNERSHIP,1230 NORTHWAY DR,ANCHORAGE,AK,995082031,,61.2127118,-149.8121135,9075506100,Dec-49,,,,0000DBBBF,,,,,,,,,,,,,,,,,,,
,1316942048,ALASKA SPINE INSTITUTE SURGERY CENTER LLC,3801 LAKE OTIS PKWY STE 100,ANCHORAGE,AK,995085234,,61.185965,-149.838051,9075631555,Dec-49,,,,K153125,,,,,,,,,,,,,,,,,,,
,1093710717,ALASKA SPINE CENTER LLC,4100 LAKE OTIS PKWY,ANCHORAGE,AK,995085230,,61.18351895,-149.8383763,9076445500,Dec-49,,,,K151869,,,,,,,,,,,,,,,,,,,
,1033395603,AWH HOLDINGS LLC,4115 LAKE OTIS PKWY,ANCHORAGE,AK,995085368,,61.18329359,-149.8380348,9075637228,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1821327560,JUNEAU SPINE AND PAIN CENTER LLC,3200 HOSPITAL DR,JUNEAU,AK,998017808,,58.330528,-134.47181,9075235962,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1710207998,PROVIDENCE SURGERY CENTERS LLC,3831 PIPER ST. SUITE S-110,ANCHORAGE,AK,995084672,,61.18594809,-149.8231092,9073397800,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1255652285,SURGERY CENTER OF FAIRBANKS LLC,2310 PEGER ROAD,FAIRBANKS,AK,997095305,,64.8265212,-147.7786734,9074792663,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1912202896,"ALASKA EYE SURGERY AND LASER CENTER, INC.",235 E 8TH AVE STE 3A,ANCHORAGE,AK,995013656,,61.214693,-149.880843,9075691551,Dec-49,,,,,,,,TRUE,,,,,5,,,,,,,,,,
,1336448968,"SOUTH ANCHORAGE SURGERY CENTER, LLC",1917 ABBOTT RD,ANCHORAGE,AK,995073449,,61.13892282,-149.8460193,9077703224,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1649534843,"SURGERY CENTER OF WASILLA, LLC",3190 E MERIDIAN PARK LOOP STE 111,WASILLA,AK,996547422,,61.5824216,-149.442563,9076313578,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1477891364,ALASKA HEART INSTITUTE,3220 PROVIDENCE DR,ANCHORAGE,AK,995084679,,61.18976218,-149.8186362,9075613211,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1144612714,ANCHORAGE SURGICENTER LLC,4001 LAUREL ST,ANCHORAGE,AK,995085368,,61.184398,-149.834305,9075631800,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1073009304,SUSITNA SURGERY CENTER LLC,2490 S WOODWORTH LOOP STE 100,PALMER,AK,996457410,,61.5995703,-149.11109,9078616540,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1184195877,"ALPINE SURGICENTER, LLC",3801 LAKE OTIS PKWY,ANCHORAGE,AK,995085234,,61.185965,-149.838051,9075631555,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1679998025,SURGERY CENTER OF KENAI,100 TRADING BAY DR,KENAI,AK,996117786,,60.559343,-151.246653,8315887296,Dec-49,,,,,,,,,,,,,,,,,,,,,,,
,1740288679,GULF COAST SURGICAL PARTNERS LLC,3610 SPRINGHILL MEMORIAL DR N,MOBILE,AL,366081162,,30.6867339,-88.0848929,2514103800,Dec-49,,,,51554502,,,,,,,,,,,,,,,,,,,
,1679544050,TUSCALOOSA SURGICAL CENTER LP,1400 MCFARLAND BLVD NORTH,TUSCALOOSA,AL,354062209,,33.2303953,-87.5359679,2053455500,Dec-49,,,,55045,,,,,,,,,,,,,,,,,,,
,1689735250,"VISION CORRECTION CENTER, LLC",1406 MCFARLAND BLVD N,TUSCALOOSA,AL,354062209,,33.23264623,-87.53759264,2052480095,Dec-49,,,Y03750,51554568,,,,,,,,,,,,,,,,,,,
